stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding
6_42 Sur IMSS_0048,,Stop 48 - 6_42 Sur IMSS,20.953139731753097,-89.61503155133339,0,,0
6_42 Sur IMSS_0049,,Stop 49 - 6_42 Sur IMSS,20.954367465504134,-89.61564114244916,0,,0
6_42 Sur IMSS_0050,,Stop 50 - 6_42 Sur IMSS,20.95613764802978,-89.61526289792002,0,,0
6_42 Sur IMSS_0051,,Stop 51 - 6_42 Sur IMSS,20.95790203562564,-89.61485591707358,0,,0
6_42 Sur IMSS_0052,,Stop 52 - 6_42 Sur IMSS,20.959662039620948,-89.6144271967231,0,,0
6_42 Sur IMSS_0053,,Stop 53 - 6_42 Sur IMSS,20.960456597718963,-89.61579894202639,0,,0
6_42 Sur IMSS_0054,,Stop 54 - 6_42 Sur IMSS,20.961004645665657,-89.61763038152394,0,,0
6_42 Sur IMSS_0055,,Stop 55 - 6_42 Sur IMSS,20.961552672468436,-89.61946183228059,0,,0
11_50 Penal Paso Texas_0000,,Stop 0 - 11_50 Penal Paso Texas,20.961829999999992,-89.6214,0,,0
11_50 Penal Paso Texas_0001,,Stop 1 - 11_50 Penal Paso Texas,20.961930065678615,-89.62280182877191,0,,0
11_50 Penal Paso Texas_0002,,Stop 2 - 11_50 Penal Paso Texas,20.96093313662474,-89.62177791212396,0,,0
11_50 Penal Paso Texas_0003,,Stop 3 - 11_50 Penal Paso Texas,20.96045444453945,-89.61992477417373,0,,0
11_50 Penal Paso Texas_0004,,Stop 4 - 11_50 Penal Paso Texas,20.959886078421903,-89.61817701951819,0,,0
11_50 Penal Paso Texas_0005,,Stop 5 - 11_50 Penal Paso Texas,20.958121391298135,-89.61858331285997,0,,0
11_50 Penal Paso Texas_0006,,Stop 6 - 11_50 Penal Paso Texas,20.956356703881845,-89.61898959900905,0,,0
11_50 Penal Paso Texas_0007,,Stop 7 - 11_50 Penal Paso Texas,20.95458959520273,-89.61938364269776,0,,0
11_50 Penal Paso Texas_0008,,Stop 8 - 11_50 Penal Paso Texas,20.952817265830248,-89.61974969933985,0,,0
11_50 Penal Paso Texas_0009,,Stop 9 - 11_50 Penal Paso Texas,20.951043434154396,-89.62010742460298,0,,0
11_50 Penal Paso Texas_0010,,Stop 10 - 11_50 Penal Paso Texas,20.9492755714837,-89.62049773110876,0,,0
11_50 Penal Paso Texas_0011,,Stop 11 - 11_50 Penal Paso Texas,20.947493717429282,-89.62080730431757,0,,0
11_50 Penal Paso Texas_0012,,Stop 12 - 11_50 Penal Paso Texas,20.94570226608479,-89.62098849237182,0,,0
11_50 Penal Paso Texas_0013,,Stop 13 - 11_50 Penal Paso Texas,20.943933272055652,-89.6206224378724,0,,0
11_50 Penal Paso Texas_0014,,Stop 14 - 11_50 Penal Paso Texas,20.942157578488068,-89.62027651773714,0,,0
11_50 Penal Paso Texas_0015,,Stop 15 - 11_50 Penal Paso Texas,20.940381168671664,-89.61993307642372,0,,0
11_50 Penal Paso Texas_0016,,Stop 16 - 11_50 Penal Paso Texas,20.938596560997954,-89.61965415001428,0,,0
11_50 Penal Paso Texas_0017,,Stop 17 - 11_50 Penal Paso Texas,20.9367997100026,-89.61976948498807,0,,0
11_50 Penal Paso Texas_0018,,Stop 18 - 11_50 Penal Paso Texas,20.93500133173809,-89.61993877061305,0,,0
11_50 Penal Paso Texas_0019,,Stop 19 - 11_50 Penal Paso Texas,20.933200884215363,-89.62008200905787,0,,0
11_50 Penal Paso Texas_0020,,Stop 20 - 11_50 Penal Paso Texas,20.931399273488697,-89.62020746336174,0,,0
11_50 Penal Paso Texas_0021,,Stop 21 - 11_50 Penal Paso Texas,20.92959720688449,-89.6203256904609,0,,0
11_50 Penal Paso Texas_0022,,Stop 22 - 11_50 Penal Paso Texas,20.92779514015679,-89.62044391729542,0,,0
11_50 Penal Paso Texas_0023,,Stop 23 - 11_50 Penal Paso Texas,20.926001885145073,-89.62065013733175,0,,0
11_50 Penal Paso Texas_0024,,Stop 24 - 11_50 Penal Paso Texas,20.92419853870806,-89.62074340681345,0,,0
11_50 Penal Paso Texas_0025,,Stop 25 - 11_50 Penal Paso Texas,20.922395080732613,-89.6208344905662,0,,0
11_50 Penal Paso Texas_0026,,Stop 26 - 11_50 Penal Paso Texas,20.92059304018832,-89.6209450811262,0,,0
11_50 Penal Paso Texas_0027,,Stop 27 - 11_50 Penal Paso Texas,20.918789380808352,-89.6210294262787,0,,0
11_50 Penal Paso Texas_0028,,Stop 28 - 11_50 Penal Paso Texas,20.918041135478752,-89.62201998745648,0,,0
11_50 Penal Paso Texas_0029,,Stop 29 - 11_50 Penal Paso Texas,20.918135958065264,-89.62393582604697,0,,0
11_50 Penal Paso Texas_0030,,Stop 30 - 11_50 Penal Paso Texas,20.91817921920742,-89.62585680991582,0,,0
11_50 Penal Paso Texas_0031,,Stop 31 - 11_50 Penal Paso Texas,20.918208278949386,-89.6277758041557,0,,0
11_50 Penal Paso Texas_0032,,Stop 32 - 11_50 Penal Paso Texas,20.91755003450048,-89.6291135078686,0,,0
11_50 Penal Paso Texas_0033,,Stop 33 - 11_50 Penal Paso Texas,20.9170710688067,-89.63041249514485,0,,0
11_50 Penal Paso Texas_0034,,Stop 34 - 11_50 Penal Paso Texas,20.91750374035153,-89.63227805930367,0,,0
11_50 Penal Paso Texas_0035,,Stop 35 - 11_50 Penal Paso Texas,20.91640727478418,-89.63337636679034,0,,0
11_50 Penal Paso Texas_0036,,Stop 36 - 11_50 Penal Paso Texas,20.915131009461994,-89.63432569465513,0,,0
11_50 Penal Paso Texas_0037,,Stop 37 - 11_50 Penal Paso Texas,20.915699655566556,-89.63614176505068,0,,0
11_50 Penal Paso Texas_0038,,Stop 38 - 11_50 Penal Paso Texas,20.916333501040608,-89.63794049390631,0,,0
11_50 Penal Paso Texas_0039,,Stop 39 - 11_50 Penal Paso Texas,20.91559188289798,-89.63911189363789,0,,0
11_50 Penal Paso Texas_0040,,Stop 40 - 11_50 Penal Paso Texas,20.915095778577424,-89.64066062438597,0,,0
11_50 Penal Paso Texas_0041,,Stop 41 - 11_50 Penal Paso Texas,20.915268328918046,-89.64257325655943,0,,0
11_50 Penal Paso Texas_0042,,Stop 42 - 11_50 Penal Paso Texas,20.915460171318895,-89.64448389373932,0,,0
11_50 Penal Paso Texas_0043,,Stop 43 - 11_50 Penal Paso Texas,20.91575732774837,-89.64637481135686,0,,0
11_50 Penal Paso Texas_0044,,Stop 44 - 11_50 Penal Paso Texas,20.914405254517188,-89.64702700388997,0,,0
11_50 Penal Paso Texas_0045,,Stop 45 - 11_50 Penal Paso Texas,20.91268245341489,-89.64730981252796,0,,0
11_50 Penal Paso Texas_0046,,Stop 46 - 11_50 Penal Paso Texas,20.91226437192209,-89.64544172050431,0,,0
11_50 Penal Paso Texas_0047,,Stop 47 - 11_50 Penal Paso Texas,20.911941809944068,-89.64355192540637,0,,0
11_50 Penal Paso Texas_0048,,Stop 48 - 11_50 Penal Paso Texas,20.911757614388403,-89.64164049427777,0,,0
11_50 Penal Paso Texas_0049,,Stop 49 - 11_50 Penal Paso Texas,20.91258732710532,-89.64042487798146,0,,0
11_50 Penal Paso Texas_0050,,Stop 50 - 11_50 Penal Paso Texas,20.913821543479347,-89.6394712190035,0,,0
11_50 Penal Paso Texas_0051,,Stop 51 - 11_50 Penal Paso Texas,20.91311859183265,-89.6377029822765,0,,0
11_50 Penal Paso Texas_0052,,Stop 52 - 11_50 Penal Paso Texas,20.91285293162048,-89.63610655388054,0,,0
11_50 Penal Paso Texas_0053,,Stop 53 - 11_50 Penal Paso Texas,20.91310105006566,-89.63468541200854,0,,0
11_50 Penal Paso Texas_0054,,Stop 54 - 11_50 Penal Paso Texas,20.914783051619015,-89.63398703711968,0,,0
11_50 Penal Paso Texas_0055,,Stop 55 - 11_50 Penal Paso Texas,20.91489980776207,-89.63242133426843,0,,0
11_50 Penal Paso Texas_0056,,Stop 56 - 11_50 Penal Paso Texas,20.915649446806203,-89.63128003277356,0,,0
11_50 Penal Paso Texas_0057,,Stop 57 - 11_50 Penal Paso Texas,20.916294710005307,-89.63284694883082,0,,0
11_50 Penal Paso Texas_0058,,Stop 58 - 11_50 Penal Paso Texas,20.917491708478416,-89.6325264581991,0,,0
11_50 Penal Paso Texas_0059,,Stop 59 - 11_50 Penal Paso Texas,20.91706707983054,-89.63065880711332,0,,0
11_50 Penal Paso Texas_0060,,Stop 60 - 11_50 Penal Paso Texas,20.917155254751517,-89.62911005710392,0,,0
11_50 Penal Paso Texas_0061,,Stop 61 - 11_50 Penal Paso Texas,20.91816916217777,-89.62802994514058,0,,0
11_50 Penal Paso Texas_0062,,Stop 62 - 11_50 Penal Paso Texas,20.918094556508137,-89.62611299802703,0,,0
11_50 Penal Paso Texas_0063,,Stop 63 - 11_50 Penal Paso Texas,20.91807019432051,-89.62419471355572,0,,0
11_50 Penal Paso Texas_0064,,Stop 64 - 11_50 Penal Paso Texas,20.918008404325352,-89.62227641869337,0,,0
11_50 Penal Paso Texas_0065,,Stop 65 - 11_50 Penal Paso Texas,20.918245339241256,-89.62088626483138,0,,0
11_50 Penal Paso Texas_0066,,Stop 66 - 11_50 Penal Paso Texas,20.920049000182576,-89.6207998391343,0,,0
11_50 Penal Paso Texas_0067,,Stop 67 - 11_50 Penal Paso Texas,20.92185266095811,-89.62071341394338,0,,0
11_50 Penal Paso Texas_0068,,Stop 68 - 11_50 Penal Paso Texas,20.923656386201426,-89.62062854003666,0,,0
11_50 Penal Paso Texas_0069,,Stop 69 - 11_50 Penal Paso Texas,20.925460233971986,-89.62054679059115,0,,0
11_50 Penal Paso Texas_0070,,Stop 70 - 11_50 Penal Paso Texas,20.92668851198908,-89.62117288210858,0,,0
11_50 Penal Paso Texas_0071,,Stop 71 - 11_50 Penal Paso Texas,20.92827975344494,-89.62133162375274,0,,0
11_50 Penal Paso Texas_0072,,Stop 72 - 11_50 Penal Paso Texas,20.930080756470623,-89.62120285503495,0,,0
11_50 Penal Paso Texas_0073,,Stop 73 - 11_50 Penal Paso Texas,20.931878961497677,-89.62103368292867,0,,0
11_50 Penal Paso Texas_0074,,Stop 74 - 11_50 Penal Paso Texas,20.932927589000457,-89.62186015626709,0,,0
11_50 Penal Paso Texas_0075,,Stop 75 - 11_50 Penal Paso Texas,20.93471883900961,-89.62161931619521,0,,0
11_50 Penal Paso Texas_0076,,Stop 76 - 11_50 Penal Paso Texas,20.93651271637255,-89.6214021833227,0,,0
11_50 Penal Paso Texas_0077,,Stop 77 - 11_50 Penal Paso Texas,20.938216458318664,-89.62128209036865,0,,0
11_50 Penal Paso Texas_0078,,Stop 78 - 11_50 Penal Paso Texas,20.93908972035556,-89.6221336059609,0,,0
11_50 Penal Paso Texas_0079,,Stop 79 - 11_50 Penal Paso Texas,20.940885959879118,-89.62193940689755,0,,0
11_50 Penal Paso Texas_0080,,Stop 80 - 11_50 Penal Paso Texas,20.942678510784734,-89.62171080985648,0,,0
11_50 Penal Paso Texas_0081,,Stop 81 - 11_50 Penal Paso Texas,20.944468092936223,-89.62145656950938,0,,0
11_50 Penal Paso Texas_0082,,Stop 82 - 11_50 Penal Paso Texas,20.945456126672507,-89.62207171954267,0,,0
