stop_id,stop_name,stop_lon,stop_lat
shape_594-1-1,stop shape_594-1-1,-103.348460,20.681925
shape_595-1-0,stop shape_595-1-0,-103.275193,20.672561
shape_595-1-1,stop shape_595-1-1,-103.275275,20.672529
shape_596-1-0,stop shape_596-1-0,-103.288193,20.599532
shape_596-1-1,stop shape_596-1-1,-103.288161,20.599525
shape_597-1-0,stop shape_597-1-0,-103.440492,20.759592
shape_597-1-1,stop shape_597-1-1,-103.440558,20.759625
shape_598-1-0,stop shape_598-1-0,-103.425870,20.460435
shape_598-1-1,stop shape_598-1-1,-103.425927,20.460461
shape_599-1-0,stop shape_599-1-0,-103.352370,20.678765
shape_599-1-1,stop shape_599-1-1,-103.352312,20.678741
shape_600-1-0,stop shape_600-1-0,-103.342068,20.679775
shape_600-1-1,stop shape_600-1-1,-103.342079,20.679794
shape_601-1-0,stop shape_601-1-0,-103.342068,20.679775
shape_601-1-1,stop shape_601-1-1,-103.342079,20.679794
shape_602-1-0,stop shape_602-1-0,-103.247468,20.651504
shape_602-1-1,stop shape_602-1-1,-103.247406,20.651535
shape_603-1-0,stop shape_603-1-0,-103.356851,20.672745
shape_603-1-1,stop shape_603-1-1,-103.356802,20.672710
shape_604-1-0,stop shape_604-1-0,-103.258242,20.683653
shape_604-1-1,stop shape_604-1-1,-103.258265,20.683615
shape_605-1-0,stop shape_605-1-0,-103.352450,20.672825
shape_605-1-1,stop shape_605-1-1,-103.352402,20.672810
shape_606-1-0,stop shape_606-1-0,-103.308105,20.706335
shape_606-1-1,stop shape_606-1-1,-103.308132,20.706306
shape_608-1-0,stop shape_608-1-0,-103.388758,20.596107
shape_608-1-1,stop shape_608-1-1,-103.388745,20.596131
shape_609-1-0,stop shape_609-1-0,-103.381088,20.577564
shape_609-1-1,stop shape_609-1-1,-103.381044,20.577573
shape_610-1-0,stop shape_610-1-0,-103.366582,20.609664
shape_610-1-1,stop shape_610-1-1,-103.366638,20.609636
shape_611-1-0,stop shape_611-1-0,-103.375086,20.613262
shape_611-1-1,stop shape_611-1-1,-103.375040,20.613196
shape_612-1-0,stop shape_612-1-0,-103.330255,20.738525
shape_612-1-1,stop shape_612-1-1,-103.330294,20.738532
shape_613-1-0,stop shape_613-1-0,-103.388898,20.599015
shape_613-1-1,stop shape_613-1-1,-103.388958,20.598997
shape_614-1-0,stop shape_614-1-0,-103.349582,20.672825
shape_614-1-1,stop shape_614-1-1,-103.349552,20.672782
shape_616-1-0,stop shape_616-1-0,-103.348408,20.693298
shape_616-1-1,stop shape_616-1-1,-103.348418,20.693278
shape_617-1-0,stop shape_617-1-0,-103.256302,20.626997
shape_617-1-1,stop shape_617-1-1,-103.256332,20.627044
shape_619-1-0,stop shape_619-1-0,-103.326682,20.611835
shape_620-1-0,stop shape_620-1-0,-103.286560,20.620355
shape_620-1-1,stop shape_620-1-1,-103.286588,20.620310
shape_621-1-0,stop shape_621-1-0,-103.258818,20.677005
shape_621-1-1,stop shape_621-1-1,-103.258856,20.677028
shape_622-1-0,stop shape_622-1-0,-103.286430,20.620165
shape_622-1-1,stop shape_622-1-1,-103.286449,20.620194
shape_623-1-0,stop shape_623-1-0,-103.287070,20.621134
shape_623-1-1,stop shape_623-1-1,-103.287099,20.621153
shape_624-1-1,stop shape_624-1-1,-105.236725,20.606541
shape_625-1-0,stop shape_625-1-0,-103.438070,20.592174
shape_625-1-1,stop shape_625-1-1,-103.438024,20.592183
shape_626-1-0,stop shape_626-1-0,-105.236313,20.604850
shape_626-1-1,stop shape_626-1-1,-105.236323,20.604867
shape_627-1-0,stop shape_627-1-0,-105.231613,20.616542
shape_627-1-1,stop shape_627-1-1,-105.231583,20.616593
shape_628-1-1,stop shape_628-1-1,-103.358560,20.491975
shape_629-1-0,stop shape_629-1-0,-103.397299,20.480036
shape_629-1-1,stop shape_629-1-1,-103.397278,20.480016
shape_630-1-0,stop shape_630-1-0,-103.455568,20.692676
shape_630-1-1,stop shape_630-1-1,-103.455578,20.692658
shape_631-1-0,stop shape_631-1-0,-103.404796,20.646239
