route_id,agency_id,route_short_name,route_long_name,route_type
Route_90A,IMEPLAN_Tampico,Route_90A,Altamira - Ej. Lomas del Real - Barranco por Quinta Martha,3
Route_91,IMEPLAN_Tampico,Route_91,Altamira - Infonavit,3
Route_91A,IMEPLAN_Tampico,Route_91A,Altamira - Los Sábalos - Santa Anita,3
Route_92,IMEPLAN_Tampico,Route_92,Tampico - Altamira,3
Route_93,IMEPLAN_Tampico,Route_93,Ejido Ricardo Flores Magón - Altamira,3
Route_95,IMEPLAN_Tampico,Route_95,Altamira - Santa Amalia - Felipe Carrillo Puerto por Colonias Briones,3
Route_94,IMEPLAN_Tampico,Route_94,Altamira - Estación Colonias - Ej. 3 de Mayo,3
Route_95A,IMEPLAN_Tampico,Route_95A,Altamira - Santa Amalia - Felipe Carrillo Puerto por Colonia México,3
Route_96,IMEPLAN_Tampico,Route_96,Altamira Km.40,3
Route_95B,IMEPLAN_Tampico,Route_95B,Altamira El Repecho,3
Route_97,IMEPLAN_Tampico,Route_97,Altamira - Central Camionera,3
Route_98,IMEPLAN_Tampico,Route_98,Altamira - Brisas - Monte alto,3
Route_99,IMEPLAN_Tampico,Route_99,Altamira - Francisco villa - Las Margaritas,3
Route_100A,IMEPLAN_Tampico,Route_100A,Infonavit - Altamira - Tampico por Av. Ayuntamiento y Av. Hidalgo,3
Route_100,IMEPLAN_Tampico,Route_100,Infonavit - Altamira - Tampico por Av. Hidalgo y Ayuntamiento,3
Route_101,IMEPLAN_Tampico,Route_101,Nuevo Madero - Tampico por Av. Hidalgo y Ayuntamiento,3
Route_102,IMEPLAN_Tampico,Route_102,Azteca - Tampico - por Av. Hidalgo y Ayuntamiento,3
Route_101A,IMEPLAN_Tampico,Route_101A,Nuevo Madero - Tampico por Ayuntamiento y Av. Hidalgo Zona Conurbada Tampico - Madero - Altamira,3
Route_103,IMEPLAN_Tampico,Route_103,Pedrera - Arboledas - Tampico por Av. Hidalgo y Ayuntamiento,3
Route_104,IMEPLAN_Tampico,Route_104,Lomas de Altamira - Tampico por Av. Hidalgo y Ayuntamiento,3
Route_103A,IMEPLAN_Tampico,Route_103A,Pedrera - Arboledas - Tampico por Av. Hidalgo y Ayuntamiento,3
Route_103B,IMEPLAN_Tampico,Route_103B,Electricistas - Arboledas - Tampico por H. Ayuntamiento y Av. Hidalgo,3
Route_104A,IMEPLAN_Tampico,Route_104A,Lomas de Altamira - Tampico por Ayuntamiento y Av. Hidalgo,3
Route_105,IMEPLAN_Tampico,Route_105,Zapata - Haciendas - Tampico por Av. Hidalgo y Ayuntamiento,3
Route_105A,IMEPLAN_Tampico,Route_105A,Zapata - Haciendas - Tampico por Ayuntamiento y Av. Hidalgo Zona Conurbada Tampico Madero - Altamira,3
Route_106,IMEPLAN_Tampico,Route_106,Puerto Industrial - Tampico por Av. Hidalgo y Ayuntamiento,3
Route_106A,IMEPLAN_Tampico,Route_106A,Puerto Industrial - Tampico por Av. Hidalgo y Ayuntamiento,3
Route_107,IMEPLAN_Tampico,Route_107,Santa Amalia - Tampico por Av. Hidalgo y Ayuntamiento,3
Route_107A,IMEPLAN_Tampico,Route_107A,Santa Amalia - Tampico por  Ayuntamiento y Av. Hidalgo,3
Route_108,IMEPLAN_Tampico,Route_108,Cuauhtémoc - Tampico - Universidad Politécnica de Altamira por Av. Hidalgo y Ayuntamiento Zona Conurbada Tampico - Madero - Altamira,3
Route_108A,IMEPLAN_Tampico,Route_108A,Cuauhtémoc - Tampico - Univ. Politécnica de Altamira por Ayuntamiento y Av. Hidalgo,3
Route_109,IMEPLAN_Tampico,Route_109,Aldama - Lomas del Real - Tampico por Ayuntamiento y Av. Hidalgo,3
Route_109A,IMEPLAN_Tampico,Route_109A,Aldama - Lomas del Real - Tampico por Av. Hidalgo y Ayuntamiento,3
Route_110,IMEPLAN_Tampico,Route_110,Universidad Politécnica de Altamira - Santa Amalia - Germinal Zona Conurbada Tampico - Madero - Altamira,3
Route_111A,IMEPLAN_Tampico,Route_111A,Tampico - Colonias - El Fuerte - Penal por Av. Hidalgo y Ayuntamiento,3
Route_112,IMEPLAN_Tampico,Route_112,Cuauhtémoc - Mariano - Matamoros,3
Route_113,IMEPLAN_Tampico,Route_113,Univ. Politécnica de Altamira - Santa Amalia - Santa Elena,3
Route_114,IMEPLAN_Tampico,Route_114,López Mateos - Margaritas - Tampico por Av. Hidalgo y Ayuntamiento,3
Route_114A,IMEPLAN_Tampico,Route_114A,López Mateos - Margaritas - Tampico por Ayuntamiento Av. Hidalgo,3
Route_115,IMEPLAN_Tampico,Route_115,Altamira - Zapata por Arboledas,3
Route_116,IMEPLAN_Tampico,Route_116,Altamira - Intramunicipal,3
Route_118,IMEPLAN_Tampico,Route_118,Frac. Haciendas - Soriana - Aeropuerto,3
Route_117,IMEPLAN_Tampico,Route_117,Altamira - San Jacinto - Paseo del Real,3
Route_119,IMEPLAN_Tampico,Route_119,Pedrera - Soriana - Aeropuerto,3
Route_FRACC,IMEPLAN_Tampico,Route_FRACC,Sotavento - Soriana Aeropuerto - AUT,3
Route_120,IMEPLAN_Tampico,Route_120,Fracc. Arboledas - Soriana - Aeropuerto,3
