stop_code,stop_lat,stop_lon,stop_id,stop_name,zone_id,parent_station,stop_desc,location_type
1319,22.433872477752388,-97.96094578531934,stop_left_1320,Stop 1320,merged_cluster,,,0
1320,22.410809946457498,-97.93939290754814,stop_left_1321,Stop 1321,merged_cluster,,,0
1321,22.32409923772347,-97.85570686548441,stop_left_1322,Stop 1322,merged_cluster,,,0
1322,22.32496802572767,-97.85346700574189,stop_left_1323,Stop 1323,merged_cluster,,,0
1323,22.32802572487788,-97.84882053093476,stop_left_1324,Stop 1324,merged_cluster,,,0
1324,22.402352707564255,-97.89096436925995,stop_left_1325,Stop 1325,merged_cluster,,,0
1325,22.399320540969867,-97.89212001028007,stop_left_1326,Stop 1326,merged_cluster,,,0
1326,22.37332930618099,-97.90351552258592,stop_left_1327,Stop 1327,merged_cluster,,,0
1327,22.240657243099974,-97.86869727808813,stop_left_1328,Stop 1328,merged_cluster,,,0
1328,22.39399250140767,-97.94752573978519,stop_left_1329,Stop 1329,merged_cluster,,,0
1329,22.39512523722593,-97.94964493787265,stop_left_1330,Stop 1330,merged_cluster,,,0
1330,22.39212783153319,-97.94143872941386,stop_left_1331,Stop 1331,merged_cluster,,,0
1331,22.44612642586538,-97.8850164515217,stop_left_1332,Stop 1332,merged_cluster,,,0
1332,22.445853466576548,-97.88650821121051,stop_left_1333,Stop 1333,merged_cluster,,,0
1333,22.445115780540657,-97.88980690960716,stop_left_1334,Stop 1334,merged_cluster,,,0
1334,22.444649405390663,-97.89181923218231,stop_left_1335,Stop 1335,merged_cluster,,,0
1335,22.44411605330598,-97.89454487719742,stop_left_1336,Stop 1336,merged_cluster,,,0
1336,22.42236389649175,-97.97302549584029,stop_left_1337,Stop 1337,merged_cluster,,,0
1337,22.424164740501638,-97.97263232920113,stop_left_1338,Stop 1338,merged_cluster,,,0
1338,22.42638449925537,-97.97218599212182,stop_left_1339,Stop 1339,merged_cluster,,,0
1339,22.428604255642544,-97.97173963936652,stop_left_1340,Stop 1340,merged_cluster,,,0
1340,22.430824009662693,-97.97129327093253,stop_left_1341,Stop 1341,merged_cluster,,,0
1341,22.43213936001365,-97.97107090316842,stop_left_1342,Stop 1342,merged_cluster,,,0
1342,22.43495148251499,-97.96987011134583,stop_left_1343,Stop 1343,merged_cluster,,,0
1343,22.434737518071216,-97.9674375817481,stop_left_1344,Stop 1344,merged_cluster,,,0
1344,22.434365614401806,-97.96505290905077,stop_left_1345,Stop 1345,merged_cluster,,,0
1345,22.43418967308905,-97.96315717077616,stop_left_1346,Stop 1346,merged_cluster,,,0
1346,22.416751130439494,-97.93484040081314,stop_left_1347,Stop 1347,merged_cluster,,,0
1347,22.406497752800238,-97.91789513963782,stop_left_1348,Stop 1348,merged_cluster,,,0
1348,22.405175873363774,-97.91602589997416,stop_left_1349,Stop 1349,merged_cluster,,,0
1349,22.402943983871996,-97.91639541932108,stop_left_1350,Stop 1350,merged_cluster,,,0
