route_id,service_id,trip_id,direction_id,shape_id
r,,r_333__trip_00,,
r,,r_33__trip_00,,
r,,r_368__trip_00,,
r,,r_371__trip_00,,
r,,r_37__trip_00,,
r,,r_380__trip_00,,
r,,r_39__trip_00,,
r,,r_500__trip_00,,
r,,r_50__trip_00,,
r,,r_51__trip_00,,
r,,r_52__trip_00,,
r,,r_54__trip_00,,
r,,r_55__trip_00,,
r,,r_59__trip_00,,
r,,r_602__trip_00,,
r,,r_604__trip_00,,
r,,r_605__trip_00,,
r,,r_608__trip_00,,
r,,r_611__trip_00,,
r,,r_615__trip_00,,
r,,r_616__trip_00,,
r,,r_619__trip_00,,
r,,r_61__trip_00,,
r,,r_622__trip_00,,
r,,r_624__trip_00,,
r,,r_625__trip_00,,
r,,r_631__trip_00,,
r,,r_632__trip_00,,
r,,r_634__trip_00,,
r,,r_637__trip_00,,
r,,r_639__trip_00,,
r,,r_640__trip_00,,
r,,r_646__trip_00,,
r,,r_647__trip_00,,
r,,r_66__trip_00,,
r,,r_701__trip_00,,
r,,r_78__trip_00,,
r,,r_80__trip_00,,
