route_id,direction_id,shape_id,service_id,trip_id
r69,1,shape_69-1,srv1111111,r69_trip_00
r6,1,shape_6-1,srv1111111,r6_trip_00
r70,1,shape_70-1,srv1111111,r70_trip_00
r71,1,shape_71-1,srv1111111,r71_trip_00
r72,1,shape_72-1,srv1111111,r72_trip_00
r73,1,shape_73-1,srv1111111,r73_trip_00
r74,1,shape_74-1,srv1111111,r74_trip_00
r75,1,shape_75-1,srv1111111,r75_trip_00
r76,1,shape_76-1,srv1111111,r76_trip_00
r77,1,shape_77-1,srv1111111,r77_trip_00
r78,1,shape_78-1,srv1111111,r78_trip_00
r79,1,shape_79-1,srv1111111,r79_trip_00
r7,1,shape_7-1,srv1111111,r7_trip_00
r80,1,shape_80-1,srv1111111,r80_trip_00
r81,1,shape_81-1,srv1111111,r81_trip_00
r82,1,shape_82-1,srv1111111,r82_trip_00
r83,1,shape_83-1,srv1111111,r83_trip_00
r84,1,shape_84-1,srv1111111,r84_trip_00
r85,1,shape_85-1,srv1111111,r85_trip_00
r86,1,shape_86-1,srv1111111,r86_trip_00
r87,1,shape_87-1,srv1111111,r87_trip_00
r88A,1,shape_88A-1,srv1111111,r88A_trip_00
r88,1,shape_88-1,srv1111111,r88_trip_00
r89A,1,shape_89A-1,srv1111111,r89A_trip_00
r89,1,shape_89-1,srv1111111,r89_trip_00
r8,1,shape_8-1,srv1111111,r8_trip_00
r90,1,shape_90-1,srv1111111,r90_trip_00
r9,1,shape_9-1,srv1111111,r9_trip_00
rFracc.,1,shape_Fracc.-1,srv1111111,rFracc._trip_00
