route_short_name,route_long_name,route_type,shape_id,service_window_id,frequency,direction
Verde Vía 1_619_Verde Vía 1,619_Verde Vía 1_Verde Vía 1_619_Verde Vía 1,2,shape_629,weekday,5,1
Verde Vía 2_619_Verde Vía 2,619_Verde Vía 2_Verde Vía 2_619_Verde Vía 2,2,shape_630,weekday,5,1
A Vía Guadalupe Gallo_619_A Vía Guadalupe Gallo,619_A Vía Guadalupe Gallo_A Vía Guadalupe Gallo_619_A Vía Guadalupe Gallo,2,shape_631,weekday,5,1
Azul Lomas San Agustín - Guadalupe_619_Azul Lomas San Agustín - Guadalupe,619_Azul Lomas San Agustín - Guadalupe_Azul Lomas San Agustín - Guadalupe_619_Azul Lomas San Agustín - Guadalupe,2,shape_632,weekday,5,1
Amarillo Nueva Central Camionera_619_Amarillo Nueva Central Camionera,619_Amarillo Nueva Central Camionera_Amarillo Nueva Central Camionera_619_Amarillo Nueva Central Camionera,2,shape_634,weekday,5,1
Santa Fe_619_Santa Fe,619_Santa Fe_Santa Fe_619_Santa Fe,2,shape_635,weekday,5,1
Terranova_622_Terranova,622_Terranova_Terranova_622_Terranova,2,shape_441,weekday,5,1
_622_,622___622_,2,shape_443,weekday,5,1
A Vía Los Olivos_623_A Vía Los Olivos,623_A Vía Los Olivos_A Vía Los Olivos_623_A Vía Los Olivos,2,shape_440,weekday,5,1
Vía Directa_623_Vía Directa,623_Vía Directa_Vía Directa_623_Vía Directa,2,shape_442,weekday,5,1
A Palmiras_623_A Palmiras,623_A Palmiras_A Palmiras_623_A Palmiras,2,shape_448,weekday,5,1
_624_,624___624_,2,shape_449,weekday,5,1
_625_,625___625_,2,shape_446,weekday,5,1
A_625_A,625_A_A_625_A,2,shape_447,weekday,5,1
Vía 3_626_Vía 3,626_Vía 3_Vía 3_626_Vía 3,2,shape_636,weekday,5,1
Vía 4_626_Vía 4,626_Vía 4_Vía 4_626_Vía 4,2,shape_637,weekday,5,1
Vía 1_626_Vía 1,626_Vía 1_Vía 1_626_Vía 1,2,shape_444,weekday,5,1
Vía 2_626_Vía 2,626_Vía 2_Vía 2_626_Vía 2,2,shape_445,weekday,5,1
B Vía 2_629_B Vía 2,629_B Vía 2_B Vía 2_629_B Vía 2,2,shape_452,weekday,5,1
B Vía 1_629_B Vía 1,629_B Vía 1_B Vía 1_629_B Vía 1,2,shape_453,weekday,5,1
Vía La Venta_629_Vía La Venta,629_Vía La Venta_Vía La Venta_629_Vía La Venta,2,shape_454,weekday,5,1
A_629_A,629_A_A_629_A,2,shape_455,weekday,5,1
Vía 2_629_Vía 2,629_Vía 2_Vía 2_629_Vía 2,2,shape_456,weekday,5,1
Vía 1_629_Vía 1,629_Vía 1_Vía 1_629_Vía 1,2,shape_457,weekday,5,1
A_631_A,631_A_A_631_A,2,shape_450,weekday,5,1
_631_,631___631_,2,shape_451,weekday,5,1
_632_,632___632_,2,shape_656,weekday,5,1
A_632_A,632_A_A_632_A,2,shape_461,weekday,5,1
Parques de Tesistán_633_Parques de Tesistán,633_Parques de Tesistán_Parques de Tesistán_633_Parques de Tesistán,2,shape_462,weekday,5,1
Vía 3_633_Vía 3,633_Vía 3_Vía 3_633_Vía 3,2,shape_463,weekday,5,1
Vía Villas de la Loma_633_Vía Villas de la Loma,633_Vía Villas de la Loma_Vía Villas de la Loma_633_Vía Villas de la Loma,2,shape_464,weekday,5,1
Vía Praderas_633_Vía Praderas,633_Vía Praderas_Vía Praderas_633_Vía Praderas,2,shape_465,weekday,5,1
_634_,634___634_,2,shape_460,weekday,5,1
B_635_B,635_B_B_635_B,2,shape_655,weekday,5,1
A_635_A,635_A_A_635_A,2,shape_459,weekday,5,1
Vía Hacienda del Valle_636_Vía Hacienda del Valle,636_Vía Hacienda del Valle_Vía Hacienda del Valle_636_Vía Hacienda del Valle,2,shape_458,weekday,5,1
Vía 3_636_Vía 3,636_Vía 3_Vía 3_636_Vía 3,2,shape_469,weekday,5,1
Vía 2_636_Vía 2,636_Vía 2_Vía 2_636_Vía 2,2,shape_470,weekday,5,1
A Vía 2_636_A Vía 2,636_A Vía 2_A Vía 2_636_A Vía 2,2,shape_471,weekday,5,1
A Vía Mesas_636_A Vía Mesas,636_A Vía Mesas_A Vía Mesas_636_A Vía Mesas,2,shape_472,weekday,5,1
A Vía Coronilla Sor Juana Inés_636_A Vía Coronilla Sor Juana Inés,636_A Vía Coronilla Sor Juana Inés_A Vía Coronilla Sor Juana Inés_636_A Vía Coronilla Sor Juana Inés,2,shape_474,weekday,5,1
_637_,637___637_,2,shape_473,weekday,5,1
Vía Villa del Centinela_637_Vía Villa del Centinela,637_Vía Villa del Centinela_Vía Villa del Centinela_637_Vía Villa del Centinela,2,shape_476,weekday,5,1
A_639_A,639_A_A_639_A,2,shape_467,weekday,5,1
_639_,639___639_,2,shape_475,weekday,5,1
_640_,640___640_,2,shape_466,weekday,5,1
Vía Tutelar_640_Vía Tutelar,640_Vía Tutelar_Vía Tutelar_640_Vía Tutelar,2,shape_468,weekday,5,1
Vía Cucea_641_Vía Cucea,641_Vía Cucea_Vía Cucea_641_Vía Cucea,2,shape_657,weekday,5,1
