shape_id,shape_pt_sequence,shape_pt_lon,shape_pt_lat
shape_81-1,23,-97.84736,22.21457
shape_81-1,24,-97.84572,22.21381
shape_81-1,25,-97.84554,22.21402
shape_81-1,26,-97.84428,22.2145
shape_81-1,27,-97.84017,22.22235
shape_81-1,28,-97.84104,22.22272
shape_81-1,29,-97.84061,22.2235
shape_81-1,30,-97.84149,22.22387
shape_81-1,31,-97.8403,22.22605
shape_81-1,32,-97.84045,22.22673
shape_81-1,33,-97.83938,22.22637
shape_89A-1,0,-97.92128,22.41213
shape_89A-1,1,-97.92228,22.41225
shape_89A-1,2,-97.92268,22.40937
shape_89A-1,3,-97.92171,22.40925
shape_89A-1,4,-97.92292,22.40031
shape_89A-1,5,-97.92318,22.39947
shape_89A-1,6,-97.92904,22.39746
shape_89A-1,7,-97.92962,22.39713
shape_89A-1,8,-97.93185,22.39464
shape_89A-1,9,-97.93247,22.39449
shape_89A-1,10,-97.93337,22.3953
shape_89A-1,11,-97.93419,22.39558
shape_89A-1,12,-97.9353,22.39574
shape_89A-1,13,-97.93493,22.39745
shape_89A-1,14,-97.93578,22.39762
shape_89A-1,15,-97.93599,22.3967
shape_89A-1,16,-97.93692,22.39691
shape_89A-1,17,-97.93692,22.39691
shape_89A-1,18,-97.936,22.39676
shape_89A-1,19,-97.93462,22.39652
shape_89A-1,20,-97.93316,22.3962
shape_89A-1,21,-97.93338,22.39533
shape_89A-1,22,-97.933,22.39505
shape_89A-1,23,-97.93268,22.39481
shape_89A-1,24,-97.93251,22.39457
shape_89A-1,25,-97.93247,22.39449
shape_89A-1,26,-97.93185,22.39464
shape_89A-1,27,-97.92962,22.39713
shape_89A-1,28,-97.92838,22.39748
shape_89A-1,29,-97.92749,22.39765
shape_89A-1,30,-97.92525,22.39733
shape_89A-1,31,-97.924,22.39764
shape_89A-1,32,-97.92278,22.39839
shape_89A-1,33,-97.92175,22.39937
shape_89A-1,34,-97.92197,22.39962
shape_89A-1,35,-97.92234,22.39976
shape_89A-1,36,-97.92322,22.39953
shape_89A-1,37,-97.92292,22.40031
shape_89A-1,38,-97.92171,22.40925
shape_89A-1,39,-97.92268,22.40937
shape_89A-1,40,-97.92228,22.41225
shape_67-1,0,-97.85804,22.25045
shape_67-1,1,-97.85752,22.24652
shape_67-1,2,-97.8552,22.24533
shape_67-1,3,-97.8551,22.24708
shape_67-1,4,-97.85458,22.24817
shape_67-1,5,-97.85484,22.2503
shape_67-1,6,-97.85385,22.24976
shape_67-1,7,-97.85385,22.24976
shape_67-1,8,-97.85363,22.24809
shape_67-1,9,-97.85063,22.24653
shape_67-1,10,-97.85021,22.24721
shape_67-1,11,-97.84402,22.24388
shape_67-1,12,-97.84318,22.24535
shape_67-1,13,-97.84182,22.24747
shape_67-1,14,-97.8414,22.24819
shape_67-1,15,-97.83988,22.24733
shape_67-1,16,-97.83944,22.2481
shape_67-1,17,-97.83944,22.2481
shape_67-1,18,-97.83794,22.24723
shape_67-1,19,-97.83972,22.24444
shape_67-1,20,-97.84276,22.24601
shape_67-1,21,-97.84318,22.24535
shape_67-1,22,-97.84402,22.24388
shape_67-1,23,-97.85021,22.24721
shape_67-1,24,-97.85063,22.24653
shape_67-1,25,-97.85363,22.24809
shape_67-1,26,-97.85385,22.24976
shape_67-1,27,-97.85385,22.24976
shape_67-1,28,-97.85484,22.2503
shape_67-1,29,-97.85458,22.24817
shape_67-1,30,-97.8551,22.24708
shape_67-1,31,-97.85525,22.24536
shape_67-1,32,-97.85751,22.24655
shape_67-1,33,-97.8581,22.25043
shape_82-1,0,-97.87379,22.23841
shape_82-1,1,-97.8735,22.238
shape_82-1,2,-97.87315,22.23561
shape_82-1,3,-97.87242,22.23449
shape_82-1,4,-97.87219,22.23398
shape_82-1,5,-97.87234,22.23289
shape_82-1,6,-97.87268,22.23244
shape_82-1,7,-97.87272,22.23215
shape_82-1,8,-97.87245,22.23164
shape_82-1,9,-97.87216,22.23141
shape_82-1,10,-97.87079,22.23056
shape_82-1,11,-97.87042,22.22967
shape_82-1,12,-97.86985,22.22817
shape_82-1,13,-97.86857,22.22781
shape_82-1,14,-97.86821,22.22771
shape_82-1,15,-97.86651,22.22361
shape_82-1,16,-97.866,22.22257
shape_82-1,17,-97.8654,22.22325
shape_82-1,18,-97.86493,22.22352
shape_82-1,19,-97.86448,22.22342
shape_82-1,20,-97.8635,22.22354
shape_82-1,21,-97.86322,22.22078
shape_82-1,22,-97.8635,22.22354
shape_82-1,23,-97.86322,22.22078
shape_82-1,24,-97.86288,22.2198
shape_82-1,25,-97.86268,22.21941
shape_82-1,26,-97.85753,22.21714
shape_82-1,27,-97.85753,22.21714
shape_82-1,28,-97.85882,22.21478
shape_82-1,29,-97.85966,22.2152
shape_82-1,30,-97.85801,22.21836
shape_82-1,31,-97.8623,22.22023
shape_82-1,32,-97.86276,22.22043
shape_82-1,33,-97.86325,22.22066
shape_82-1,34,-97.86327,22.22068
shape_82-1,35,-97.8633,22.2226
shape_82-1,36,-97.86294,22.22342
shape_82-1,37,-97.8635,22.22354
shape_82-1,38,-97.86448,22.22342
shape_82-1,39,-97.86506,22.22353
shape_82-1,40,-97.86591,22.22384
shape_82-1,41,-97.86651,22.22361
shape_82-1,42,-97.86821,22.22771
shape_82-1,43,-97.86857,22.22781
shape_82-1,44,-97.86985,22.22817
shape_82-1,45,-97.87042,22.22967
shape_82-1,46,-97.87079,22.23056
shape_82-1,47,-97.87216,22.23141
shape_82-1,48,-97.87245,22.23164
shape_82-1,49,-97.87272,22.23215
shape_82-1,50,-97.87268,22.23244
shape_82-1,51,-97.87234,22.23289
shape_82-1,52,-97.87219,22.23398
shape_82-1,53,-97.87242,22.23449
shape_82-1,54,-97.87315,22.23561
shape_82-1,55,-97.8735,22.238
shape_66-1,0,-97.83785,22.27616
shape_66-1,1,-97.83514,22.2679
shape_66-1,2,-97.83334,22.26221
shape_66-1,3,-97.835,22.26087
shape_66-1,4,-97.8326,22.25843
shape_66-1,5,-97.8373,22.25447
shape_66-1,6,-97.8352,22.24948
shape_66-1,7,-97.83483,22.24858
shape_66-1,8,-97.83468,22.24819
shape_66-1,9,-97.83411,22.24667
shape_66-1,10,-97.83524,22.24487
shape_66-1,11,-97.83747,22.24604
shape_66-1,12,-97.8352,22.24948
shape_66-1,13,-97.8373,22.25447
shape_66-1,14,-97.8326,22.25843
shape_66-1,15,-97.835,22.26087
shape_66-1,16,-97.83394,22.26181
shape_66-1,17,-97.83855,22.27605
shape_75-1,0,-97.89533,22.22644
shape_75-1,1,-97.894,22.22491
shape_75-1,2,-97.89207,22.22467
shape_75-1,3,-97.89072,22.22448
shape_75-1,4,-97.88681,22.22293
shape_75-1,5,-97.88531,22.22328
shape_75-1,6,-97.87049,22.21754
shape_75-1,7,-97.87076,22.21697
shape_75-1,8,-97.8682,22.21599
shape_75-1,9,-97.86779,22.21561
shape_75-1,10,-97.86615,22.215
shape_75-1,11,-97.86477,22.21474
shape_75-1,12,-97.86402,22.21444
shape_75-1,13,-97.85723,22.21188
shape_75-1,14,-97.85693,22.2124
shape_75-1,15,-97.85693,22.2124
shape_75-1,16,-97.85778,22.2127
shape_75-1,17,-97.85769,22.21292
shape_75-1,18,-97.85904,22.21347
shape_75-1,19,-97.8601,22.21431
shape_75-1,20,-97.86034,22.21414
