route_id,direction_id,shape_id,service_id,trip_id
r101,1,shape_101-1,srv1111111,r101_trip_00_8
r101,1,shape_101-1,srv1111111,r101_trip_00_9
r103A,1,shape_103A-1,srv1111111,r103A_trip_00_1
r103A,1,shape_103A-1,srv1111111,r103A_trip_00_2
r103A,1,shape_103A-1,srv1111111,r103A_trip_00_3
r103A,1,shape_103A-1,srv1111111,r103A_trip_00_4
r103A,1,shape_103A-1,srv1111111,r103A_trip_00_5
r103A,1,shape_103A-1,srv1111111,r103A_trip_00_6
r103A,1,shape_103A-1,srv1111111,r103A_trip_00_7
r103A,1,shape_103A-1,srv1111111,r103A_trip_00_8
r103A,1,shape_103A-1,srv1111111,r103A_trip_00_9
r103B,1,shape_103B-1,srv1111111,r103B_trip_00_1
r103B,1,shape_103B-1,srv1111111,r103B_trip_00_2
r103B,1,shape_103B-1,srv1111111,r103B_trip_00_3
r103B,1,shape_103B-1,srv1111111,r103B_trip_00_4
r103B,1,shape_103B-1,srv1111111,r103B_trip_00_5
r103B,1,shape_103B-1,srv1111111,r103B_trip_00_6
r103B,1,shape_103B-1,srv1111111,r103B_trip_00_7
r103B,1,shape_103B-1,srv1111111,r103B_trip_00_8
r103B,1,shape_103B-1,srv1111111,r103B_trip_00_9
r103,1,shape_103-1,srv1111111,r103_trip_00_1
r103,1,shape_103-1,srv1111111,r103_trip_00_2
r103,1,shape_103-1,srv1111111,r103_trip_00_3
r103,1,shape_103-1,srv1111111,r103_trip_00_4
r103,1,shape_103-1,srv1111111,r103_trip_00_5
r103,1,shape_103-1,srv1111111,r103_trip_00_6
r103,1,shape_103-1,srv1111111,r103_trip_00_7
r103,1,shape_103-1,srv1111111,r103_trip_00_8
r103,1,shape_103-1,srv1111111,r103_trip_00_9
r104,1,shape_104-1,srv1111111,r104_trip_00_1
r104,1,shape_104-1,srv1111111,r104_trip_00_2
r104,1,shape_104-1,srv1111111,r104_trip_00_3
r104,1,shape_104-1,srv1111111,r104_trip_00_4
r104,1,shape_104-1,srv1111111,r104_trip_00_5
r104,1,shape_104-1,srv1111111,r104_trip_00_6
r104,1,shape_104-1,srv1111111,r104_trip_00_7
r104,1,shape_104-1,srv1111111,r104_trip_00_8
r104,1,shape_104-1,srv1111111,r104_trip_00_9
