stop_id,stop_name,stop_lon,stop_lat,route,sequence
st_r7_shape_7_0103,st_r7_shape_7_0103,-97.8144102095339,22.2870881703827,r7,103
st_r7_shape_7_0104,st_r7_shape_7_0104,-97.8158904132452,22.2859194510081,r7,104
st_r7_shape_7_0105,st_r7_shape_7_0105,-97.8173705925312,22.2847507168933,r7,105
st_r7_shape_7_0106,st_r7_shape_7_0106,-97.8188507473931,22.2835819680409,r7,106
st_r7_shape_7_0107,st_r7_shape_7_0107,-97.8203308778322,22.282413204453,r7,107
st_r7_shape_7_0108,st_r7_shape_7_0108,-97.8217131164151,22.2818136257689,r7,108
st_r7_shape_7_0109,st_r7_shape_7_0109,-97.8227274356981,22.2833538866607,r7,109
st_r7_shape_7_0110,st_r7_shape_7_0110,-97.8243246715388,22.2827406505346,r7,110
st_r7_shape_7_0111,st_r7_shape_7_0111,-97.8260462216822,22.2819128719185,r7,111
st_r7_shape_7_0112,st_r7_shape_7_0112,-97.8277678444525,22.2810784400173,r7,112
st_r7_shape_7_0113,st_r7_shape_7_0113,-97.8286677339813,22.2799705163417,r7,113
st_r7_shape_7_0114,st_r7_shape_7_0114,-97.8279218762068,22.2783162743167,r7,114
st_r7_shape_7_0115,st_r7_shape_7_0115,-97.8297612419613,22.2777392340503,r7,115
st_r7_shape_7_0116,st_r7_shape_7_0116,-97.8316005935396,22.2771621722507,r7,116
st_r7_shape_7_0117,st_r7_shape_7_0117,-97.8335196318187,22.2770046690567,r7,117
st_r7_shape_7_0118,st_r7_shape_7_0118,-97.835460027614,22.2769582301522,r7,118
st_r7_shape_7_0119,st_r7_shape_7_0119,-97.8374002663484,22.2769063184273,r7,119
st_r7_shape_7_0120,st_r7_shape_7_0120,-97.8393410551971,22.2768900057352,r7,120
st_r7_shape_7_0121,st_r7_shape_7_0121,-97.8412808792175,22.2768561989931,r7,121
st_r7_shape_7_0122,st_r7_shape_7_0122,-97.8432175590963,22.2767351556649,r7,122
st_r7_shape_7_0123,st_r7_shape_7_0123,-97.8448587800744,22.2758897820948,r7,123
st_r7_shape_7_0124,st_r7_shape_7_0124,-97.8455349977144,22.274526548696,r7,124
st_r7_shape_7_0125,st_r7_shape_7_0125,-97.8462550111689,22.2728867620739,r7,125
st_r7_shape_7_0126,st_r7_shape_7_0126,-97.8469017954619,22.2711834730386,r7,126
st_r7_shape_7_0127,st_r7_shape_7_0127,-97.8475485632041,22.2694801804107,r7,127
st_r7_shape_7_0128,st_r7_shape_7_0128,-97.8481953143979,22.2677768841908,r7,128
st_r7_shape_7_0129,st_r7_shape_7_0129,-97.8488420490453,22.2660735843796,r7,129
st_r7_shape_7_0130,st_r7_shape_7_0130,-97.8494887671485,22.2643702809777,r7,130
st_r7_shape_7_0131,st_r7_shape_7_0131,-97.8501354687098,22.262666973986,r7,131
st_r7_shape_7_0132,st_r7_shape_7_0132,-97.8507821537313,22.2609636634049,r7,132
st_r7_shape_7_0133,st_r7_shape_7_0133,-97.8514288222152,22.2592603492352,r7,133
st_r7_shape_7_0134,st_r7_shape_7_0134,-97.8520754741638,22.2575570314776,r7,134
st_r7_shape_7_0135,st_r7_shape_7_0135,-97.8527215219952,22.2558535176325,r7,135
st_r7_shape_7_0136,st_r7_shape_7_0136,-97.8533635136004,22.2541486767491,r7,136
st_r7_shape_7_0137,st_r7_shape_7_0137,-97.8539819552874,22.2524363702177,r7,137
st_r7_shape_7_0138,st_r7_shape_7_0138,-97.8546963436736,22.2507640793227,r7,138
st_r7_shape_7_0139,st_r7_shape_7_0139,-97.8546876049436,22.2490167121761,r7,139
st_r7_shape_7_0140,st_r7_shape_7_0140,-97.8550641344107,22.2473191357168,r7,140
st_r7_shape_7_0141,st_r7_shape_7_0141,-97.8551948702122,22.2455241142651,r7,141
st_r7_shape_7_0142,st_r7_shape_7_0142,-97.8554018827743,22.2437285503232,r7,142
st_r7_shape_7_0143,st_r7_shape_7_0143,-97.8549155114693,22.2420190052546,r7,143
st_r7_shape_7_0144,st_r7_shape_7_0144,-97.8539402763352,22.2404787408624,r7,144
st_r7_shape_7_0145,st_r7_shape_7_0145,-97.8531745711264,22.2388407516343,r7,145
st_r7_shape_7_0146,st_r7_shape_7_0146,-97.8517491771074,22.2376583878628,r7,146
st_r7_shape_7_0147,st_r7_shape_7_0147,-97.8499048496218,22.237096704637,r7,147
st_r7_shape_7_0148,st_r7_shape_7_0148,-97.8490532838647,22.2355064189339,r7,148
st_r7_shape_7_0149,st_r7_shape_7_0149,-97.8484707613943,22.2337853409198,r7,149
st_r7_shape_7_0150,st_r7_shape_7_0150,-97.847568434503,22.2321900148604,r7,150
st_r7_shape_7_0151,st_r7_shape_7_0151,-97.8467530098784,22.2305896595155,r7,151
st_r7_shape_7_0152,st_r7_shape_7_0152,-97.8470964097749,22.2288663640594,r7,152
st_r7_shape_7_0153,st_r7_shape_7_0153,-97.8478992541135,22.2272221805187,r7,153
st_r7_shape_7_0154,st_r7_shape_7_0154,-97.8487506010644,22.2255988072629,r7,154
