shape_id,shape_pt_sequence,shape_pt_lon,shape_pt_lat
shape_67-1,4,-97.854580,22.248170
shape_67-1,5,-97.854840,22.250300
shape_67-1,6,-97.853850,22.249760
shape_67-1,7,-97.853850,22.249760
shape_67-1,8,-97.853630,22.248090
shape_67-1,9,-97.850630,22.246530
shape_67-1,10,-97.850210,22.247210
shape_67-1,11,-97.844020,22.243880
shape_67-1,12,-97.843180,22.245350
shape_67-1,13,-97.841820,22.247470
shape_67-1,14,-97.841400,22.248190
shape_67-1,15,-97.839880,22.247330
shape_67-1,16,-97.839440,22.248100
shape_67-1,17,-97.839440,22.248100
shape_67-1,18,-97.837940,22.247230
shape_67-1,19,-97.839720,22.244440
shape_67-1,20,-97.842760,22.246010
shape_67-1,21,-97.843180,22.245350
shape_67-1,22,-97.844020,22.243880
shape_67-1,23,-97.850210,22.247210
shape_67-1,24,-97.850630,22.246530
shape_67-1,25,-97.853630,22.248090
shape_67-1,26,-97.853850,22.249760
shape_67-1,27,-97.853850,22.249760
shape_67-1,28,-97.854840,22.250300
shape_67-1,29,-97.854580,22.248170
shape_67-1,30,-97.855100,22.247080
shape_67-1,31,-97.855250,22.245360
shape_67-1,32,-97.857510,22.246550
shape_67-1,33,-97.858100,22.250430
shape_82-1,0,-97.873790,22.238410
shape_82-1,1,-97.873500,22.238000
shape_82-1,2,-97.873150,22.235610
shape_82-1,3,-97.872420,22.234490
shape_82-1,4,-97.872190,22.233980
shape_82-1,5,-97.872340,22.232890
shape_82-1,6,-97.872680,22.232440
shape_82-1,7,-97.872720,22.232150
shape_82-1,8,-97.872450,22.231640
shape_82-1,9,-97.872160,22.231410
shape_82-1,10,-97.870790,22.230560
shape_82-1,11,-97.870420,22.229670
shape_82-1,12,-97.869850,22.228170
shape_82-1,13,-97.868570,22.227810
shape_82-1,14,-97.868210,22.227710
shape_82-1,15,-97.866510,22.223610
shape_82-1,16,-97.866000,22.222570
shape_82-1,17,-97.865400,22.223250
shape_82-1,18,-97.864930,22.223520
shape_82-1,19,-97.864480,22.223420
shape_82-1,20,-97.863500,22.223540
shape_82-1,21,-97.863220,22.220780
shape_82-1,22,-97.863500,22.223540
shape_82-1,23,-97.863220,22.220780
shape_82-1,24,-97.862880,22.219800
shape_82-1,25,-97.862680,22.219410
shape_82-1,26,-97.857530,22.217140
shape_82-1,27,-97.857530,22.217140
shape_82-1,28,-97.858820,22.214780
shape_82-1,29,-97.859660,22.215200
shape_82-1,30,-97.858010,22.218360
shape_82-1,31,-97.862300,22.220230
shape_82-1,32,-97.862760,22.220430
shape_82-1,33,-97.863250,22.220660
shape_82-1,34,-97.863270,22.220680
shape_82-1,35,-97.863300,22.222600
shape_82-1,36,-97.862940,22.223420
shape_82-1,37,-97.863500,22.223540
shape_82-1,38,-97.864480,22.223420
shape_82-1,39,-97.865060,22.223530
shape_82-1,40,-97.865910,22.223840
shape_82-1,41,-97.866510,22.223610
shape_82-1,42,-97.868210,22.227710
shape_82-1,43,-97.868570,22.227810
shape_82-1,44,-97.869850,22.228170
shape_82-1,45,-97.870420,22.229670
shape_82-1,46,-97.870790,22.230560
shape_82-1,47,-97.872160,22.231410
shape_82-1,48,-97.872450,22.231640
shape_82-1,49,-97.872720,22.232150
shape_82-1,50,-97.872680,22.232440
shape_82-1,51,-97.872340,22.232890
shape_82-1,52,-97.872190,22.233980
shape_82-1,53,-97.872420,22.234490
shape_82-1,54,-97.873150,22.235610
shape_82-1,55,-97.873500,22.238000
shape_66-1,0,-97.837850,22.276160
shape_66-1,1,-97.835140,22.267900
shape_66-1,2,-97.833340,22.262210
shape_66-1,3,-97.835000,22.260870
shape_66-1,4,-97.832600,22.258430
shape_66-1,5,-97.837300,22.254470
shape_66-1,6,-97.835200,22.249480
shape_66-1,7,-97.834830,22.248580
shape_66-1,8,-97.834680,22.248190
shape_66-1,9,-97.834110,22.246670
shape_66-1,10,-97.835240,22.244870
shape_66-1,11,-97.837470,22.246040
shape_66-1,12,-97.835200,22.249480
shape_66-1,13,-97.837300,22.254470
shape_66-1,14,-97.832600,22.258430
shape_66-1,15,-97.835000,22.260870
shape_66-1,16,-97.833940,22.261810
shape_66-1,17,-97.838550,22.276050
shape_75-1,0,-97.895330,22.226440
shape_75-1,1,-97.894000,22.224910
shape_75-1,2,-97.892070,22.224670
shape_75-1,3,-97.890720,22.224480
shape_75-1,4,-97.886810,22.222930
shape_75-1,5,-97.885310,22.223280
shape_75-1,6,-97.870490,22.217540
shape_75-1,7,-97.870760,22.216970
shape_75-1,8,-97.868200,22.215990
shape_75-1,9,-97.867790,22.215610
shape_75-1,10,-97.866150,22.215000
shape_75-1,11,-97.864770,22.214740
shape_75-1,12,-97.864020,22.214440
shape_75-1,13,-97.857230,22.211880
shape_75-1,14,-97.856930,22.212400
shape_75-1,15,-97.856930,22.212400
shape_75-1,16,-97.857780,22.212700
shape_75-1,17,-97.857690,22.212920
shape_75-1,18,-97.859040,22.213470
shape_75-1,19,-97.860100,22.214310
shape_75-1,20,-97.860340,22.214140
shape_75-1,21,-97.860940,22.214590
shape_75-1,22,-97.863440,22.215650
shape_75-1,23,-97.864060,22.214460
shape_75-1,24,-97.864770,22.214740
shape_75-1,25,-97.866150,22.215000
shape_75-1,26,-97.867790,22.215610
shape_75-1,27,-97.868200,22.215990
shape_75-1,28,-97.870760,22.216970
shape_75-1,29,-97.870490,22.217540
shape_75-1,30,-97.885310,22.223280
shape_75-1,31,-97.886810,22.222930
shape_75-1,32,-97.890720,22.224480
shape_75-1,33,-97.892070,22.224670
shape_75-1,34,-97.894000,22.224910
shape_59-1,0,-97.872700,22.247620
shape_59-1,1,-97.871850,22.248090
shape_59-1,2,-97.871450,22.247360
shape_59-1,3,-97.867210,22.249400
shape_59-1,4,-97.865970,22.249930
shape_59-1,5,-97.863570,22.250620
shape_59-1,6,-97.853570,22.253550
shape_59-1,7,-97.851680,22.254090
shape_59-1,8,-97.835230,22.244850
shape_59-1,9,-97.834330,22.246260
shape_59-1,10,-97.834330,22.246260
shape_59-1,11,-97.835530,22.246940
shape_59-1,12,-97.850030,22.254610
shape_59-1,13,-97.853570,22.253550
shape_59-1,14,-97.863570,22.250620
shape_59-1,15,-97.865970,22.249930
shape_59-1,16,-97.872330,22.246960
shape_59-1,17,-97.872690,22.247620
shape_56-1,0,-97.873780,22.238430
shape_56-1,1,-97.873440,22.237870
shape_56-1,2,-97.873140,22.235570
shape_56-1,3,-97.872640,22.234890
shape_56-1,4,-97.872320,22.234290
shape_56-1,5,-97.872200,22.233670
shape_56-1,6,-97.872320,22.232870
shape_56-1,7,-97.872730,22.232420
shape_56-1,8,-97.872580,22.231840
shape_56-1,9,-97.872190,22.231430
shape_56-1,10,-97.871570,22.231130
shape_56-1,11,-97.870750,22.230530
shape_56-1,12,-97.869840,22.228150
shape_56-1,13,-97.868180,22.227680
shape_56-1,14,-97.866520,22.223600
shape_56-1,15,-97.865930,22.223880
shape_56-1,16,-97.864470,22.223380
shape_56-1,17,-97.863450,22.223530
shape_56-1,18,-97.863200,22.220930
shape_56-1,19,-97.863180,22.220470
shape_56-1,20,-97.862690,22.219410
shape_56-1,21,-97.857580,22.217140
shape_56-1,22,-97.858840,22.214770
shape_56-1,23,-97.859640,22.215170
shape_56-1,24,-97.857970,22.218370
shape_56-1,25,-97.863180,22.220630
shape_56-1,26,-97.863180,22.220630
shape_56-1,27,-97.857970,22.218370
