route_id,trip_id,direction_id,shape_id,service_id
r84,t-r84-weekday-06:00:00-1-12,1,shape_84-1,srv1111111
r84,t-r84-weekday-06:00:00-1-13,1,shape_84-1,srv1111111
r84,t-r84-weekday-06:00:00-1-14,1,shape_84-1,srv1111111
r84,t-r84-weekday-06:00:00-1-15,1,shape_84-1,srv1111111
r84,t-r84-weekday-06:00:00-1-16,1,shape_84-1,srv1111111
r84,t-r84-weekday-06:00:00-1-17,1,shape_84-1,srv1111111
r84,t-r84-weekday-06:00:00-1-18,1,shape_84-1,srv1111111
r84,t-r84-weekday-06:00:00-1-19,1,shape_84-1,srv1111111
r84,t-r84-weekday-06:00:00-1-20,1,shape_84-1,srv1111111
r84,t-r84-weekday-06:00:00-1-21,1,shape_84-1,srv1111111
r84,t-r84-weekday-06:00:00-1-22,1,shape_84-1,srv1111111
